wo_id,equipment_id,date,problem,root_cause,action_taken,technician,status
"WO-0016","MTR-FW-201","2024-01-26","Excessive vibration at coupling end","Shaft misalignment with driven pump; last PM inspection overdue by 66 days","Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0017","MTR-FW-201","2024-01-27","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress; last PM inspection overdue by 50 days","Oven-dried windings; applied insulation varnish; megger tested; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0018","VLV-CW-101","2024-01-30","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Suresh","Completed"
"WO-0019","HEX-CW-101","2024-02-01","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Suresh","Completed"
"WO-0020","VLV-ST-301","2024-02-03","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Kavitha","Completed"
"WO-0021","MTR-CW-101","2024-02-08","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling; last PM inspection overdue by 71 days","Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0022","MTR-FW-201","2024-02-10","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Murugan","Completed"
"WO-0023","CMP-REF-301","2024-02-10","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Murugan","Closed"
"WO-0024","CMP-N2-201","2024-02-12","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 66 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Kavitha","Closed"
"WO-0025","CMP-AIR-101","2024-02-14","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction","Topped oil; replaced oil cooler; checked all temp sensors","Murugan","Completed"
"WO-0026","PMP-FW-202","2024-02-20","Abnormal noise during pump startup","Cavitation due to low suction pressure; last PM inspection overdue by 36 days","Adjusted suction valve opening; cleared strainer blockage; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0027","PMP-CW-101","2024-02-23","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance; last PM inspection overdue by 70 days","Bearings replaced; rotor balanced in-situ; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0028","HEX-CW-101","2024-02-26","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Anwar","Completed"
"WO-0029","VLV-CW-102","2024-02-28","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Murugan","Completed"
"WO-0030","VLV-CW-101","2024-02-29","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Murugan","Completed"
"WO-0031","MTR-FW-202","2024-03-05","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Anwar","Closed"
"WO-0032","CMP-AIR-102","2024-03-06","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Anwar","Completed"
"WO-0033","PMP-CW-102","2024-03-08","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation","Emergency bearing replacement; installed temperature sensor","Rajan","Completed"
"WO-0034","MTR-PR-301","2024-03-09","Thermal overload trip during peak load","Overheating from overloaded operating conditions","Reset overload relay; adjusted load; verified current settings","Suresh","Completed"
"WO-0035","VLV-DR-501","2024-03-16","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Suresh","Completed"
"WO-0036","VLV-PR-202","2024-03-19","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Kavitha","Completed"
"WO-0037","CMP-AIR-101","2024-03-20","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve","Replaced inlet valve assembly; reseated valve plate","Suresh","Completed"
"WO-0038","CMP-AIR-102","2024-03-24","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages; last PM inspection overdue by 51 days","Chemical descaling of cooler; backflushed cooling water circuit; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0039","HEX-CW-102","2024-03-25","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer; last PM inspection overdue by 38 days","Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0040","MTR-FW-202","2024-03-25","Excessive vibration at coupling end","Shaft misalignment with driven pump; last PM inspection overdue by 47 days","Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0041","PMP-CW-101","2024-03-30","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Anwar","Closed"
"WO-0042","CMP-AIR-101","2024-04-02","High temperature alarm - stage 1 outlet 180°C","Temperature alarm from fouled inter-stage cooler; last PM inspection overdue by 89 days","Cleaned inter-cooler tubes; verified cooling water flow; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0043","HEX-CW-101","2024-04-02","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Kavitha","Completed"
"WO-0044","MTR-PR-301","2024-04-03","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Murugan","Closed"
"WO-0045","MTR-CW-102","2024-04-04","Coupling bolts shearing frequently","Angular misalignment causing shock loads; last PM inspection overdue by 75 days","Complete shaft alignment; replaced coupling; documented baseline; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0046","VLV-PR-201","2024-04-05","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Deepak","Completed"
"WO-0047","MTR-FW-202","2024-04-06","Thermal overload trip during peak load","Overheating from overloaded operating conditions; last PM inspection overdue by 49 days","Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0048","VLV-DR-501","2024-04-07","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 24 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0049","MTR-FW-201","2024-04-08","Excessive vibration at coupling end","Shaft misalignment with driven pump; last PM inspection overdue by 48 days","Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0050","VLV-CW-101","2024-04-08","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Murugan","Completed"
"WO-0051","PMP-PR-301","2024-04-09","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue","Replaced mechanical seal cartridge; inspected shaft sleeve","Deepak","Completed"
"WO-0052","VLV-ST-301","2024-04-09","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Deepak","Completed"
"WO-0053","PMP-CW-101","2024-04-09","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; prior inspection warning noted 13 days before failure","Emergency bearing replacement; installed temperature sensor","Deepak","Completed"
"WO-0054","VLV-GS-401","2024-04-11","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 20 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0055","PMP-CW-102","2024-04-17","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; last PM inspection overdue by 46 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0056","CMP-REF-301","2024-04-18","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft; last PM inspection overdue by 75 days","Replaced crankshaft oil seals; changed lubricating oil; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0057","PMP-FW-201","2024-04-20","Pump casing erosion observed","Prolonged cavitation causing pitting","Casing interior epoxy-coated; NPSH margins reviewed","Deepak","Completed"
"WO-0058","MTR-FW-201","2024-04-23","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling; last PM inspection overdue by 79 days","Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0059","VLV-GS-401","2024-04-23","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Deepak","Completed"
"WO-0060","MTR-PR-301","2024-04-24","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Deepak","Closed"
"WO-0061","PMP-FW-201","2024-04-26","Seal flush line blocked, seal overheating","Seal failure from loss of flush cooling","Replaced seal; flushed and cleared seal pot lines","Pradeep","Completed"
"WO-0062","MTR-CW-101","2024-04-26","Excessive vibration at coupling end","Shaft misalignment with driven pump; last PM inspection overdue by 16 days","Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0063","MTR-FW-201","2024-04-28","High vibration and noise at bearing housings","Misalignment and coupling wear","Replaced flexible coupling insert; realigned shafts","Pradeep","Completed"
"WO-0064","PMP-CW-101","2024-05-02","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Suresh","Closed"
"WO-0065","MTR-CW-102","2024-05-03","Thermal overload trip during peak load","Overheating from overloaded operating conditions; last PM inspection overdue by 66 days","Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0066","CMP-AIR-101","2024-05-04","Oil found in discharge air line","Oil leakage past worn oil seals on crankshaft","Replaced crankshaft oil seals; changed lubricating oil","Rajan","Completed"
"WO-0067","PMP-CW-102","2024-05-05","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; last PM inspection overdue by 64 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0068","HEX-SM-301","2024-05-05","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Kavitha","Completed"
"WO-0069","CMP-AIR-102","2024-05-07","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Murugan","Completed"
"WO-0070","PMP-CW-101","2024-05-07","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; prior inspection warning noted 21 days before failure","Replaced mechanical seal cartridge; inspected shaft sleeve","Rajan","Completed"
"WO-0071","PMP-FW-201","2024-05-07","Mechanical seal leaking at gland area","Mechanical seal face wear and spring fatigue; last PM inspection overdue by 52 days","Replaced mechanical seal cartridge; inspected shaft sleeve; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0072","PMP-FW-201","2024-05-08","Excessive bearing noise and vibration","Bearing wear due to inadequate lubrication","Replaced drive-end and non-drive-end bearings; repacked with lithium grease","Suresh","Completed"
"WO-0073","MTR-CW-102","2024-05-09","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Deepak","Completed"
"WO-0074","PMP-FW-201","2024-05-15","Abnormal noise during pump startup","Cavitation due to low suction pressure","Adjusted suction valve opening; cleared strainer blockage","Anwar","Completed"
"WO-0075","MTR-PR-301","2024-05-15","Motor body temperature 110°C during run","Overheating due to single phasing","Replaced blown fuse; checked and tightened terminal connections","Anwar","Closed"
"WO-0076","PMP-CW-101","2024-05-18","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; last PM inspection overdue by 18 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0077","MTR-CW-101","2024-05-20","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling; last PM inspection overdue by 71 days","Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed","Suresh","Completed"
"WO-0078","HEX-CW-102","2024-05-21","High differential pressure across heat exchanger","Tube-side fouling and partial blockage; last PM inspection overdue by 56 days","High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0079","MTR-CW-102","2024-05-26","Motor tripping on earth fault relay","Winding insulation breakdown at phase-to-earth; last PM inspection overdue by 42 days","Rewound stator; upgraded insulation class to F; PM schedule updated and overdue inspection completed","Pradeep","Completed"
"WO-0080","VLV-CW-101","2024-05-26","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 35 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0081","CMP-AIR-102","2024-05-29","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings","Replaced ring set; inspected cylinder walls for scoring","Deepak","Completed"
"WO-0082","CMP-N2-201","2024-05-31","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages","Chemical descaling of cooler; backflushed cooling water circuit","Deepak","Completed"
"WO-0083","PMP-PR-301","2024-05-31","Flow rate drop with high power consumption","Cavitation from entrained air in suction line; last PM inspection overdue by 80 days","Bled air from suction; repaired suction pipe joint; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0084","HEX-PR-201","2024-05-31","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Kavitha","Completed"
"WO-0085","CMP-AIR-101","2024-06-04","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings; last PM inspection overdue by 29 days","Replaced piston rings and cylinder liners; pressure tested; PM schedule updated and overdue inspection completed","Suresh","Closed"
"WO-0086","CMP-AIR-101","2024-06-05","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction","Topped oil; replaced oil cooler; checked all temp sensors","Rajan","Completed"
"WO-0087","MTR-FW-201","2024-06-07","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Suresh","Closed"
"WO-0088","CMP-AIR-102","2024-06-10","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings","Replaced ring set; inspected cylinder walls for scoring","Deepak","Completed"
"WO-0089","HEX-CW-101","2024-06-12","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Pradeep","Completed"
"WO-0090","HEX-CW-102","2024-06-16","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer; last PM inspection overdue by 80 days","Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0091","VLV-DR-501","2024-06-17","Valve stem packing leaking","Packing degradation from thermal cycling","Replaced PTFE packing; torqued gland follower","Rajan","Completed"
"WO-0092","PMP-CW-102","2024-06-19","Pump vibration exceeds 7mm/s RMS","Bearing wear combined with rotor imbalance","Bearings replaced; rotor balanced in-situ","Kavitha","Closed"
"WO-0093","MTR-FW-201","2024-06-21","Motor body temperature 110°C during run","Overheating due to single phasing","Replaced blown fuse; checked and tightened terminal connections","Murugan","Completed"
"WO-0094","MTR-FW-201","2024-06-22","Excessive vibration at coupling end","Shaft misalignment with driven pump; last PM inspection overdue by 50 days","Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0095","PMP-CW-102","2024-06-24","Pump casing erosion observed","Prolonged cavitation causing pitting","Casing interior epoxy-coated; NPSH margins reviewed","Suresh","Completed"
"WO-0096","VLV-CW-101","2024-06-29","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Pradeep","Completed"
"WO-0097","PMP-CW-101","2024-06-29","Pump casing erosion observed","Prolonged cavitation causing pitting","Casing interior epoxy-coated; NPSH margins reviewed","Rajan","Completed"
"WO-0098","CMP-REF-301","2024-07-02","High temperature alarm - stage 1 outlet 180°C","Temperature alarm from fouled inter-stage cooler","Cleaned inter-cooler tubes; verified cooling water flow","Murugan","Completed"
"WO-0099","MTR-PR-301","2024-07-04","Insulation resistance low - 0.3 MΩ measured","Insulation failure due to moisture ingress","Oven-dried windings; applied insulation varnish; megger tested","Rajan","Completed"
"WO-0100","PMP-CW-101","2024-07-05","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Deepak","Closed"
"WO-0101","VLV-ST-301","2024-07-09","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Deepak","Completed"
"WO-0102","CMP-N2-201","2024-07-10","Discharge pressure dropping below setpoint","Pressure loss due to worn piston rings","Replaced piston rings and cylinder liners; pressure tested","Rajan","Completed"
"WO-0103","HEX-PR-201","2024-07-13","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Anwar","Completed"
"WO-0104","VLV-GS-401","2024-07-14","Actuator not responding to control signal","Positioner failure and air supply issue; last PM inspection overdue by 70 days","Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed","Murugan","Completed"
"WO-0105","VLV-ST-301","2024-07-15","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Deepak","Completed"
"WO-0106","CMP-AIR-101","2024-07-16","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Anwar","Completed"
"WO-0107","VLV-PR-202","2024-07-16","Valve stuck in open position","Corrosion of stem and body seizing","Penetrating oil applied; stem polished; lubricated","Anwar","Completed"
"WO-0108","CMP-REF-301","2024-07-17","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve; last PM inspection overdue by 90 days","Replaced inlet valve assembly; reseated valve plate; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0109","PMP-FW-201","2024-07-21","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation","Emergency bearing replacement; installed temperature sensor","Murugan","Completed"
"WO-0110","PMP-FW-202","2024-07-23","Abnormal noise during pump startup","Cavitation due to low suction pressure","Adjusted suction valve opening; cleared strainer blockage","Pradeep","Completed"
"WO-0111","HEX-CW-101","2024-07-23","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Pradeep","Completed"
"WO-0112","CMP-AIR-101","2024-07-25","Oil level dropping rapidly, no external leak","Internal oil leakage past cylinder rings","Replaced ring set; inspected cylinder walls for scoring","Kavitha","Completed"
"WO-0113","PMP-CW-101","2024-07-26","Water leakage from pump casing joint","Gland packing failure and shaft wear; prior inspection warning noted 14 days before failure","Repacked gland; shimmed shaft alignment","Rajan","Completed"
"WO-0114","PMP-CW-101","2024-07-28","Routine inspection - minor bearing noise noted","Predictive inspection finding; bearing within limits but trending high","Documented observation; recommended follow-up in 2 weeks; lubricated bearings","Deepak","Closed"
"WO-0115","CMP-REF-301","2024-07-29","Outlet pressure 3 bar below rated value","Pressure loss from scored cylinder bore","Cylinder rebored and honed; new oversize piston fitted","Rajan","Completed"
"WO-0116","HEX-CW-102","2024-07-29","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Suresh","Completed"
"WO-0117","MTR-PR-301","2024-07-29","High vibration and noise at bearing housings","Misalignment and coupling wear; last PM inspection overdue by 17 days","Replaced flexible coupling insert; realigned shafts; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0118","HEX-CW-101","2024-07-30","Process outlet temperature 8°C above target","Fouling on shell side reducing heat transfer","Mechanical cleaning of shell side; replaced gaskets","Murugan","Completed"
"WO-0119","VLV-PR-201","2024-08-01","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Kavitha","Completed"
"WO-0120","MTR-CW-101","2024-08-01","Motor winding temperature above 85°C","Overheating due to blocked ventilation ducts","Cleaned cooling fins; replaced cooling fan; checked current draw","Suresh","Completed"
"WO-0121","PMP-CW-101","2024-08-03","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; prior inspection warning noted 10 days before failure; last PM inspection overdue by 24 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0122","CMP-AIR-101","2024-08-07","Oil carryover contaminating process air","Oil leakage from separator element failure","Replaced oil separator element; checked coalescing filter","Rajan","Completed"
"WO-0123","CMP-AIR-101","2024-08-10","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve","Replaced inlet valve assembly; reseated valve plate","Deepak","Completed"
"WO-0124","MTR-PR-301","2024-08-17","Thermal overload trip during peak load","Overheating from overloaded operating conditions; last PM inspection overdue by 45 days","Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0125","VLV-GS-401","2024-08-17","Actuator not responding to control signal","Positioner failure and air supply issue","Replaced positioner; adjusted zero and span","Kavitha","Completed"
"WO-0126","HEX-CW-102","2024-08-18","High differential pressure across heat exchanger","Tube-side fouling and partial blockage","High-pressure water jetting of tube bundle; eddy current test","Suresh","Completed"
"WO-0127","PMP-FW-201","2024-08-21","Abnormal noise during pump startup","Cavitation due to low suction pressure","Adjusted suction valve opening; cleared strainer blockage","Pradeep","Completed"
"WO-0128","PMP-FW-202","2024-08-22","High bearing temperature alarm triggered","Advanced bearing wear, lubricant degradation; last PM inspection overdue by 67 days","Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed","Kavitha","Closed"
"WO-0129","HEX-PR-201","2024-08-23","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Suresh","Completed"
"WO-0130","PMP-FW-201","2024-08-24","Flow rate drop with high power consumption","Cavitation from entrained air in suction line","Bled air from suction; repaired suction pipe joint","Murugan","Completed"
"WO-0131","VLV-PR-202","2024-08-24","Valve stuck in open position","Corrosion of stem and body seizing; last PM inspection overdue by 80 days","Penetrating oil applied; stem polished; lubricated; PM schedule updated and overdue inspection completed","Deepak","Completed"
"WO-0132","PMP-FW-201","2024-08-26","Water leakage from pump casing joint","Gland packing failure and shaft wear; last PM inspection overdue by 24 days","Repacked gland; shimmed shaft alignment; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0133","VLV-DR-501","2024-08-29","Valve passing in closed position","Seat erosion from high velocity flow","Lapped valve seat; replaced stem packing","Deepak","Completed"
"WO-0134","MTR-FW-201","2024-08-29","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Suresh","Completed"
"WO-0135","MTR-CW-102","2024-08-31","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Pradeep","Completed"
"WO-0136","HEX-PR-201","2024-09-01","Tube bundle leakage found during inspection","Erosion-corrosion at tube ends","Plugged leaking tubes; scheduled tube bundle replacement","Suresh","Completed"
"WO-0137","MTR-FW-201","2024-09-05","Thermal overload trip during peak load","Overheating from overloaded operating conditions; last PM inspection overdue by 40 days","Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0138","PMP-FW-201","2024-09-05","Abnormal noise during pump startup","Cavitation due to low suction pressure","Adjusted suction valve opening; cleared strainer blockage","Anwar","Completed"
"WO-0139","VLV-GS-401","2024-09-13","Valve stem packing leaking","Packing degradation from thermal cycling; last PM inspection overdue by 37 days","Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed","Anwar","Completed"
"WO-0140","MTR-FW-201","2024-09-13","IR value 0.8 MΩ, below 1 MΩ threshold","Insulation deterioration from thermal cycling","Partial rewind; applied class H varnish; dried in oven 8 hours","Deepak","Completed"
"WO-0141","MTR-CW-101","2024-09-18","Motor body temperature 110°C during run","Overheating due to single phasing","Replaced blown fuse; checked and tightened terminal connections","Murugan","Completed"
"WO-0142","CMP-AIR-101","2024-09-18","Compressor shutdown on high temp trip 200°C","Temperature alarm due to low oil level causing friction; last PM inspection overdue by 70 days","Topped oil; replaced oil cooler; checked all temp sensors; PM schedule updated and overdue inspection completed","Rajan","Completed"
"WO-0143","CMP-AIR-101","2024-09-19","Intercooler outlet temperature elevated 20°C","Fouling and scale buildup in heat exchanger passages; last PM inspection overdue by 60 days","Chemical descaling of cooler; backflushed cooling water circuit; PM schedule updated and overdue inspection completed","Kavitha","Completed"
"WO-0144","CMP-AIR-101","2024-09-24","System pressure unstable, hunting observed","Pressure loss from leaking inlet valve; last PM inspection overdue by 86 days","Replaced inlet valve assembly; reseated valve plate; PM schedule updated and overdue inspection completed","Rajan","Completed"
