incident_id,equipment_id,incident_date,failure_mode,root_cause,contributing_factors,corrective_action,preventable,linked_work_order
INC-0035,VLV-DR-501,2024-03-16,Seal Leakage,Packing degradation from thermal cycling,Derived from linked work order history,Replaced PTFE packing; torqued gland follower,Yes,WO-0035
INC-0036,VLV-PR-202,2024-03-19,Corrosion,Corrosion of stem and body seizing,Derived from linked work order history,Penetrating oil applied; stem polished; lubricated,Yes,WO-0036
INC-0037,CMP-AIR-101,2024-03-20,Vibration,Pressure loss from leaking inlet valve,Derived from linked work order history,Replaced inlet valve assembly; reseated valve plate,Partially,WO-0037
INC-0038,CMP-AIR-102,2024-03-24,Overheating,Fouling and scale buildup in heat exchanger passages; last PM inspection overdue by 51 days,Derived from linked work order history,Chemical descaling of cooler; backflushed cooling water circuit; PM schedule updated and overdue inspection completed,Yes,WO-0038
INC-0039,HEX-CW-102,2024-03-25,Overheating,Fouling on shell side reducing heat transfer; last PM inspection overdue by 38 days,Derived from linked work order history,Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed,Yes,WO-0039
INC-0040,MTR-FW-202,2024-03-25,Vibration,Shaft misalignment with driven pump; last PM inspection overdue by 47 days,Derived from linked work order history,Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed,Yes,WO-0040
INC-0041,PMP-CW-101,2024-03-30,Bearing Failure,Predictive inspection finding; bearing within limits but trending high,Derived from linked work order history,Documented observation; recommended follow-up in 2 weeks; lubricated bearings,Partially,WO-0041
INC-0042,CMP-AIR-101,2024-04-02,Overheating,Temperature alarm from fouled inter-stage cooler; last PM inspection overdue by 89 days,Derived from linked work order history,Cleaned inter-cooler tubes; verified cooling water flow; PM schedule updated and overdue inspection completed,Yes,WO-0042
INC-0043,HEX-CW-101,2024-04-02,Vibration,Tube-side fouling and partial blockage,Derived from linked work order history,High-pressure water jetting of tube bundle; eddy current test,Yes,WO-0043
INC-0044,MTR-PR-301,2024-04-03,Vibration,Insulation deterioration from thermal cycling,Derived from linked work order history,Partial rewind; applied class H varnish; dried in oven 8 hours,Yes,WO-0044
INC-0045,MTR-CW-102,2024-04-04,Vibration,Angular misalignment causing shock loads; last PM inspection overdue by 75 days,Derived from linked work order history,Complete shaft alignment; replaced coupling; documented baseline; PM schedule updated and overdue inspection completed,Partially,WO-0045
INC-0046,VLV-PR-201,2024-04-05,Vibration,Positioner failure and air supply issue,Derived from linked work order history,Replaced positioner; adjusted zero and span,Yes,WO-0046
INC-0047,MTR-FW-202,2024-04-06,Overheating,Overheating from overloaded operating conditions; last PM inspection overdue by 49 days,Derived from linked work order history,Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed,Yes,WO-0047
INC-0048,VLV-DR-501,2024-04-07,Vibration,Positioner failure and air supply issue; last PM inspection overdue by 24 days,Derived from linked work order history,Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed,Yes,WO-0048
INC-0049,MTR-FW-201,2024-04-08,Vibration,Shaft misalignment with driven pump; last PM inspection overdue by 48 days,Derived from linked work order history,Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed,Partially,WO-0049
INC-0050,VLV-CW-101,2024-04-08,Vibration,Positioner failure and air supply issue,Derived from linked work order history,Replaced positioner; adjusted zero and span,Yes,WO-0050
INC-0051,PMP-PR-301,2024-04-09,Seal Leakage,Mechanical seal face wear and spring fatigue,Derived from linked work order history,Replaced mechanical seal cartridge; inspected shaft sleeve,Yes,WO-0051
INC-0052,VLV-ST-301,2024-04-09,Seal Leakage,Packing degradation from thermal cycling,Derived from linked work order history,Replaced PTFE packing; torqued gland follower,Yes,WO-0052
INC-0053,PMP-CW-101,2024-04-09,Bearing Failure,"Advanced bearing wear, lubricant degradation; prior inspection warning noted 13 days before failure",Derived from linked work order history,Emergency bearing replacement; installed temperature sensor,Partially,WO-0053
INC-0054,VLV-GS-401,2024-04-11,Vibration,Positioner failure and air supply issue; last PM inspection overdue by 20 days,Derived from linked work order history,Replaced positioner; adjusted zero and span; PM schedule updated and overdue inspection completed,Yes,WO-0054
INC-0055,PMP-CW-102,2024-04-17,Bearing Failure,"Advanced bearing wear, lubricant degradation; last PM inspection overdue by 46 days",Derived from linked work order history,Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed,Yes,WO-0055
INC-0056,CMP-REF-301,2024-04-18,Seal Leakage,Oil leakage past worn oil seals on crankshaft; last PM inspection overdue by 75 days,Derived from linked work order history,Replaced crankshaft oil seals; changed lubricating oil; PM schedule updated and overdue inspection completed,Yes,WO-0056
INC-0057,PMP-FW-201,2024-04-20,Cavitation,Prolonged cavitation causing pitting,Derived from linked work order history,Casing interior epoxy-coated; NPSH margins reviewed,Partially,WO-0057
INC-0058,MTR-FW-201,2024-04-23,Vibration,Insulation deterioration from thermal cycling; last PM inspection overdue by 79 days,Derived from linked work order history,Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed,Yes,WO-0058
INC-0059,VLV-GS-401,2024-04-23,Corrosion,Corrosion of stem and body seizing,Derived from linked work order history,Penetrating oil applied; stem polished; lubricated,Yes,WO-0059
INC-0060,MTR-PR-301,2024-04-24,Overheating,Overheating due to blocked ventilation ducts,Derived from linked work order history,Cleaned cooling fins; replaced cooling fan; checked current draw,Yes,WO-0060
INC-0061,PMP-FW-201,2024-04-26,Overheating,Seal failure from loss of flush cooling,Derived from linked work order history,Replaced seal; flushed and cleared seal pot lines,Partially,WO-0061
INC-0062,MTR-CW-101,2024-04-26,Vibration,Shaft misalignment with driven pump; last PM inspection overdue by 16 days,Derived from linked work order history,Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed,Yes,WO-0062
INC-0063,MTR-FW-201,2024-04-28,Bearing Failure,Misalignment and coupling wear,Derived from linked work order history,Replaced flexible coupling insert; realigned shafts,Yes,WO-0063
INC-0064,PMP-CW-101,2024-05-02,Bearing Failure,Predictive inspection finding; bearing within limits but trending high,Derived from linked work order history,Documented observation; recommended follow-up in 2 weeks; lubricated bearings,Yes,WO-0064
INC-0065,MTR-CW-102,2024-05-03,Overheating,Overheating from overloaded operating conditions; last PM inspection overdue by 66 days,Derived from linked work order history,Reset overload relay; adjusted load; verified current settings; PM schedule updated and overdue inspection completed,Partially,WO-0065
INC-0066,CMP-AIR-101,2024-05-04,Seal Leakage,Oil leakage past worn oil seals on crankshaft,Derived from linked work order history,Replaced crankshaft oil seals; changed lubricating oil,Yes,WO-0066
INC-0067,PMP-CW-102,2024-05-05,Bearing Failure,"Advanced bearing wear, lubricant degradation; last PM inspection overdue by 64 days",Derived from linked work order history,Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed,Yes,WO-0067
INC-0068,HEX-SM-301,2024-05-05,Overheating,Fouling on shell side reducing heat transfer,Derived from linked work order history,Mechanical cleaning of shell side; replaced gaskets,Yes,WO-0068
INC-0069,CMP-AIR-102,2024-05-07,Vibration,Pressure loss due to worn piston rings,Derived from linked work order history,Replaced piston rings and cylinder liners; pressure tested,Partially,WO-0069
INC-0070,PMP-CW-101,2024-05-07,Seal Leakage,Mechanical seal face wear and spring fatigue; prior inspection warning noted 21 days before failure,Derived from linked work order history,Replaced mechanical seal cartridge; inspected shaft sleeve,Yes,WO-0070
INC-0071,PMP-FW-201,2024-05-07,Seal Leakage,Mechanical seal face wear and spring fatigue; last PM inspection overdue by 52 days,Derived from linked work order history,Replaced mechanical seal cartridge; inspected shaft sleeve; PM schedule updated and overdue inspection completed,Yes,WO-0071
INC-0072,PMP-FW-201,2024-05-08,Bearing Failure,Bearing wear due to inadequate lubrication,Derived from linked work order history,Replaced drive-end and non-drive-end bearings; repacked with lithium grease,Yes,WO-0072
INC-0073,MTR-CW-102,2024-05-09,Vibration,Insulation deterioration from thermal cycling,Derived from linked work order history,Partial rewind; applied class H varnish; dried in oven 8 hours,Partially,WO-0073
INC-0074,PMP-FW-201,2024-05-15,Cavitation,Cavitation due to low suction pressure,Derived from linked work order history,Adjusted suction valve opening; cleared strainer blockage,Yes,WO-0074
INC-0075,MTR-PR-301,2024-05-15,Overheating,Overheating due to single phasing,Derived from linked work order history,Replaced blown fuse; checked and tightened terminal connections,Yes,WO-0075
INC-0076,PMP-CW-101,2024-05-18,Bearing Failure,"Advanced bearing wear, lubricant degradation; last PM inspection overdue by 18 days",Derived from linked work order history,Emergency bearing replacement; installed temperature sensor; PM schedule updated and overdue inspection completed,Yes,WO-0076
INC-0077,MTR-CW-101,2024-05-20,Vibration,Insulation deterioration from thermal cycling; last PM inspection overdue by 71 days,Derived from linked work order history,Partial rewind; applied class H varnish; dried in oven 8 hours; PM schedule updated and overdue inspection completed,Partially,WO-0077
INC-0078,HEX-CW-102,2024-05-21,Vibration,Tube-side fouling and partial blockage; last PM inspection overdue by 56 days,Derived from linked work order history,High-pressure water jetting of tube bundle; eddy current test; PM schedule updated and overdue inspection completed,Yes,WO-0078
INC-0079,MTR-CW-102,2024-05-26,Vibration,Winding insulation breakdown at phase-to-earth; last PM inspection overdue by 42 days,Derived from linked work order history,Rewound stator; upgraded insulation class to F; PM schedule updated and overdue inspection completed,Yes,WO-0079
INC-0080,VLV-CW-101,2024-05-26,Seal Leakage,Packing degradation from thermal cycling; last PM inspection overdue by 35 days,Derived from linked work order history,Replaced PTFE packing; torqued gland follower; PM schedule updated and overdue inspection completed,Yes,WO-0080
INC-0081,CMP-AIR-102,2024-05-29,Seal Leakage,Internal oil leakage past cylinder rings,Derived from linked work order history,Replaced ring set; inspected cylinder walls for scoring,Partially,WO-0081
INC-0082,CMP-N2-201,2024-05-31,Overheating,Fouling and scale buildup in heat exchanger passages,Derived from linked work order history,Chemical descaling of cooler; backflushed cooling water circuit,Yes,WO-0082
INC-0083,PMP-PR-301,2024-05-31,Cavitation,Cavitation from entrained air in suction line; last PM inspection overdue by 80 days,Derived from linked work order history,Bled air from suction; repaired suction pipe joint; PM schedule updated and overdue inspection completed,Yes,WO-0083
INC-0084,HEX-PR-201,2024-05-31,Corrosion,Erosion-corrosion at tube ends,Derived from linked work order history,Plugged leaking tubes; scheduled tube bundle replacement,Yes,WO-0084
INC-0085,CMP-AIR-101,2024-06-04,Vibration,Pressure loss due to worn piston rings; last PM inspection overdue by 29 days,Derived from linked work order history,Replaced piston rings and cylinder liners; pressure tested; PM schedule updated and overdue inspection completed,Partially,WO-0085
INC-0086,CMP-AIR-101,2024-06-05,Overheating,Temperature alarm due to low oil level causing friction,Derived from linked work order history,Topped oil; replaced oil cooler; checked all temp sensors,Yes,WO-0086
INC-0087,MTR-FW-201,2024-06-07,Vibration,Insulation failure due to moisture ingress,Derived from linked work order history,Oven-dried windings; applied insulation varnish; megger tested,Yes,WO-0087
INC-0088,CMP-AIR-102,2024-06-10,Seal Leakage,Internal oil leakage past cylinder rings,Derived from linked work order history,Replaced ring set; inspected cylinder walls for scoring,Yes,WO-0088
INC-0089,HEX-CW-101,2024-06-12,Corrosion,Erosion-corrosion at tube ends,Derived from linked work order history,Plugged leaking tubes; scheduled tube bundle replacement,Partially,WO-0089
INC-0090,HEX-CW-102,2024-06-16,Overheating,Fouling on shell side reducing heat transfer; last PM inspection overdue by 80 days,Derived from linked work order history,Mechanical cleaning of shell side; replaced gaskets; PM schedule updated and overdue inspection completed,Yes,WO-0090
INC-0091,VLV-DR-501,2024-06-17,Seal Leakage,Packing degradation from thermal cycling,Derived from linked work order history,Replaced PTFE packing; torqued gland follower,Yes,WO-0091
INC-0092,PMP-CW-102,2024-06-19,Bearing Failure,Bearing wear combined with rotor imbalance,Derived from linked work order history,Bearings replaced; rotor balanced in-situ,Yes,WO-0092
INC-0093,MTR-FW-201,2024-06-21,Overheating,Overheating due to single phasing,Derived from linked work order history,Replaced blown fuse; checked and tightened terminal connections,Partially,WO-0093
INC-0094,MTR-FW-201,2024-06-22,Vibration,Shaft misalignment with driven pump; last PM inspection overdue by 50 days,Derived from linked work order history,Laser alignment performed; alignment to within 0.05mm; PM schedule updated and overdue inspection completed,Yes,WO-0094
INC-0095,PMP-CW-102,2024-06-24,Cavitation,Prolonged cavitation causing pitting,Derived from linked work order history,Casing interior epoxy-coated; NPSH margins reviewed,Yes,WO-0095
INC-0096,VLV-CW-101,2024-06-29,Corrosion,Corrosion of stem and body seizing,Derived from linked work order history,Penetrating oil applied; stem polished; lubricated,Yes,WO-0096
INC-0097,PMP-CW-101,2024-06-29,Cavitation,Prolonged cavitation causing pitting,Derived from linked work order history,Casing interior epoxy-coated; NPSH margins reviewed,Partially,WO-0097
INC-0098,CMP-REF-301,2024-07-02,Overheating,Temperature alarm from fouled inter-stage cooler,Derived from linked work order history,Cleaned inter-cooler tubes; verified cooling water flow,Yes,WO-0098
INC-0099,MTR-PR-301,2024-07-04,Vibration,Insulation failure due to moisture ingress,Derived from linked work order history,Oven-dried windings; applied insulation varnish; megger tested,Yes,WO-0099
INC-0100,PMP-CW-101,2024-07-05,Bearing Failure,Predictive inspection finding; bearing within limits but trending high,Derived from linked work order history,Documented observation; recommended follow-up in 2 weeks; lubricated bearings,Yes,WO-0100
